scenario,LPI_final,CI_low,CI_high,time,LPI_final_true,CI_low_true,CI_high_true,overlap,residual_error_sd,residual_error_mean,dtbar,dtbar_variance,lpi_nocorrection,lpi_correction,lpi_variance,lpi_bias,CI_width_diff,CI_width_reldiff,percentile_LPIcorrected,percentile_LPInotcorrected,direction,N0,lambda,interaction,Observation_error,Process_error,Lag
scenario2A,0.5730321946291763,0.5615414446377119,0.5836096543832358,9,0.5839310400089339,0.5839269650217473,0.5839354625075663,0.08668842972215073,0.039354834588681456,0.005965736002533639,-0.03279366051633419,9.165801015190609e-4,0.5733554538627935,0.5760612380242032,7.881032231527121e-4,-0.0027057841614096523,0.08797864104201047,0.1527244591977113,0.689,0.514,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.5289995037613003,0.5178295230162187,0.5395816688402951,10,0.53431603206122,0.5343119108094188,0.5343203682727969,0.13424184713277063,0.03049121764762297,0.012038871017605101,-0.0302300651484563,9.165801015950229e-4,0.5348030591262908,0.5377543811318471,7.974625451026124e-4,-0.002951322005556367,0.08894622116055788,0.16540306184646397,0.942,0.858,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.4867808532411496,0.4742766584059093,0.49899304134106964,11,0.48735666271070804,0.48735238367698225,0.48736107181633226,0.04333591320035632,0.03321569631342936,-0.017041146755031322,-0.05374723765995647,9.165801052682244e-4,0.47254877877944806,0.4755614915654254,7.156092590879093e-4,-0.0030127127859773117,0.08014704309531252,0.16853139818257612,0.04,0.014,decline,892,1.5,0.1,0.05,0,0
scenario2B,1,1,1,1,1,1,1,NA,0.02219115757570384,0.005616627906898208,NA,NA,1,1,NA,0,NA,NA,NA,NA,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9946825882503141,0.9847881783233392,1.0044075345339547,2,1.0006322474846392,1.0006038678871167,1.0006608052677364,0.1656747982823278,0.02057176796242423,-0.009378620586302488,-0.005164512412880594,4.79627750934631e-4,0.9881786978749518,0.9884156768381435,4.683551265409373e-4,-2.3697896319163636e-4,0.06521537851802414,0.06597970878673487,0.116,0.108,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9902773602373822,0.9787129199924594,1.002142131565569,3,1.0003374056844825,1.0003023749023705,1.0003724376933787,0.14541057479894223,0.014770274013642597,0.008318532169779468,-0.0020005388609995833,4.796277507294446e-4,0.9836372087045575,0.9841118102901376,4.752293177746335e-4,-4.7460158558010335e-4,0.062025828001231034,0.06302721637183123,0.15,0.124,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9872086396716306,0.9748941369583021,1.0005107276476868,4,1.0004749809255906,1.0004410620832904,1.0005107297205764,0.12659252884389796,0.027375452253095272,-0.0072045487171644275,-0.0030759695545464205,4.7962775091472325e-4,0.9766950331338297,0.9774044064944697,4.728815436257395e-4,-7.09373360640031e-4,0.059627100877619604,0.06100555766008508,0.06,0.046,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9854058857330157,0.9707390462632267,1.0012752320625649,5,1.0004108591781269,1.0003759171598088,1.0004480718962967,0.04758400624696772,0.020949494475404448,0.006323886042009652,0.004494387330717007,4.796277506087906e-4,0.9868550469170574,0.9878141080185103,4.896582515724698e-4,-9.590611014529404e-4,0.056206448222019534,0.056899823322796986,0.611,0.558,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9848485940473363,0.9692277319624572,1.001266163136409,6,1.0004407334443668,1.0004061101942927,1.0004773806136578,0.14083814537640654,0.01836299379631362,-0.004417520301215716,-0.006425533532699608,4.7962775089238364e-4,0.972361674763044,0.9735429425530917,4.6564316879502344e-4,-0.0011812677900476798,0.05255033397232417,0.0539784447869472,0.075,0.053,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9857552855084598,0.9689029309178959,1.0037576515892066,7,1.000426826349064,1.0003920618563427,1.0004634885412225,0.10852362356289048,0.01949823542466528,-0.0014807895305030349,0.0013821541527911773,4.796277507450053e-4,0.9754611720817233,0.9768867835830327,4.8269034425289494e-4,-0.0014256115013093762,0.051268521870570447,0.052481539040304524,0.155,0.116,stable,892,1.5,0.1,0.05,0,0
